step,residual,mass
280,1.4008350076658905e-03,1.2543314383642679e-05
281,1.3960120458434862e-03,1.2678643779348054e-05
282,1.3912234044181693e-03,1.2814539970829842e-05
283,1.3864687159424883e-03,1.2950999069338548e-05
284,1.3817476181423993e-03,1.3088017191283294e-05
285,1.3770597538266664e-03,1.3225590458324615e-05
286,1.3724047707986758e-03,1.3363714998104969e-05
287,1.3677823217697910e-03,1.3502386944365632e-05
288,1.3631920642745475e-03,1.3641602437465120e-05
289,1.3586336605877615e-03,1.3781357624746322e-05
290,1.3541067776430156e-03,1.3921648660740407e-05
291,1.3496110869533437e-03,1.4062471707719648e-05
292,1.3451462645330079e-03,1.4203822935894211e-05
293,1.3407119908212149e-03,1.4345698523829695e-05
294,1.3363079506073534e-03,1.4488094658582797e-05
295,1.3319338329575035e-03,1.4631007536272681e-05
296,1.3275893311428502e-03,1.4774433362208106e-05
297,1.3232741425691305e-03,1.4918368351212681e-05
298,1.3189879687077126e-03,1.5062808727994506e-05
299,1.3147305150281051e-03,1.5207750727193305e-05
300,1.3105014909316234e-03,1.5353190594007120e-05
301,1.3063006096865021e-03,1.5499124584125160e-05
302,1.3021275883643474e-03,1.5645548964151467e-05
303,1.2979821477776081e-03,1.5792460011776518e-05
304,1.2938640124186245e-03,1.5939854016107728e-05
305,1.2897729103994785e-03,1.6087727277837804e-05
306,1.2857085733934057e-03,1.6236076109422985e-05
307,1.2816707365770480e-03,1.6384896835393358e-05
308,1.2776591385739377e-03,1.6534185792551504e-05
309,1.2736735213992115e-03,1.6683939330117642e-05
310,1.2697136304050671e-03,1.6834153809941344e-05
311,1.2657792142275251e-03,1.6984825606805563e-05
312,1.2618700247342611e-03,1.7135951108408849e-05
313,1.2579858169731726e-03,1.7287526715737021e-05
314,1.2541263491220526e-03,1.7439548843153658e-05
315,1.2502913824393145e-03,1.7592013918466891e-05
316,1.2464806812155270e-03,1.7744918383389812e-05
317,1.2426940127258730e-03,1.7898258693318398e-05
318,1.2389311471835006e-03,1.8052031317739434e-05
319,1.2351918576938906e-03,1.8206232740371719e-05
320,1.2314759202096807e-03,1.8360859459079359e-05
321,1.2277831134869638e-03,1.8515907986329402e-05
322,1.2241132190416897e-03,1.8671374849047166e-05
323,1.2204660211074039e-03,1.8827256588849981e-05
324,1.2168413065934915e-03,1.8983549762251501e-05
325,1.2132388650443458e-03,1.9140250940546459e-05
326,1.2096584885990329e-03,1.9297356710230888e-05
327,1.2060999719520076e-03,1.9454863672863584e-05
328,1.2025631123144173e-03,1.9612768445167668e-05
329,1.1990477093758978e-03,1.9771067659340754e-05
330,1.1955535652674381e-03,1.9929757962912495e-05
331,1.1920804845245282e-03,2.0088836018955572e-05
332,1.1886282740513996e-03,2.0248298506160863e-05
333,1.1851967430853946e-03,2.0408142118842863e-05
334,1.1817857031624127e-03,2.0568363567127552e-05
335,1.1783949680827474e-03,2.0728959576938212e-05
336,1.1750243538774980e-03,2.0889926890128885e-05
337,1.1716736787758092e-03,2.1051262264393595e-05
338,1.1683427631723831e-03,2.1212962473587581e-05
339,1.1650314295957387e-03,2.1375024307554262e-05
340,1.1617395026770330e-03,2.1537444572266096e-05
341,1.1584668091193890e-03,2.1700220089911491e-05
342,1.1552131776676746e-03,2.1863347698812749e-05
343,1.1519784390789697e-03,2.2026824253661820e-05
344,1.1487624260934242e-03,2.2190646625390459e-05
345,1.1455649734055942e-03,2.2354811701283668e-05
346,1.1423859176364860e-03,2.2519316384982672e-05
347,1.1392250973057360e-03,2.2684157596534847e-05
348,1.1360823528045541e-03,2.2849332272469770e-05
349,1.1329575263689981e-03,2.3014837365669354e-05
350,1.1298504620537309e-03,2.3180669845625848e-05
351,1.1267610057062300e-03,2.3346826698171988e-05
352,1.1236890049413704e-03,2.3513304925762740e-05
353,1.1206343091165450e-03,2.3680101547344495e-05
354,1.1175967693071219e-03,2.3847213598370515e-05
355,1.1145762382822921e-03,2.4014638130887247e-05
356,1.1115725704814363e-03,2.4182372213491657e-05
357,1.1085856219907190e-03,2.4350412931269242e-05
358,1.1056152505202405e-03,2.4518757385911913e-05
359,1.1026613153814686e-03,2.4687402695681972e-05
360,1.0997236774649990e-03,2.4856345995324077e-05
361,1.0968021992188203e-03,2.5025584436210688e-05
362,1.0938967446268409e-03,2.5195115186224625e-05
363,1.0910071791877321e-03,2.5364935429712676e-05
364,1.0881333698942474e-03,2.5535042367611279e-05
365,1.0852751852127157e-03,2.5705433217353635e-05
366,1.0824324950630686e-03,2.5876105212886710e-05
367,1.0796051707989158e-03,2.6047055604533981e-05
368,1.0767930851882607e-03,2.6218281659179414e-05
369,1.0739961123942313e-03,2.6389780660055260e-05
370,1.0712141279563675e-03,2.6561549906861236e-05
371,1.0684470087719577e-03,2.6733586715628067e-05
372,1.0656946330779881e-03,2.6905888418817219e-05
373,1.0629568804330189e-03,2.7078452365174813e-05
374,1.0602336316996907e-03,2.7251275919756888e-05
375,1.0575247690272176e-03,2.7424356463871245e-05
376,1.0548301758343539e-03,2.7597691395144414e-05
377,1.0521497367925756e-03,2.7771278127327225e-05
378,1.0494833378094967e-03,2.7945114090339282e-05
379,1.0468308660125042e-03,2.8119196730343265e-05
380,1.0441922097327717e-03,2.8293523509460166e-05
381,1.0415672584894774e-03,2.8468091906010030e-05
382,1.0389559029741842e-03,2.8642899414202188e-05
383,1.0363580350355407e-03,2.8817943544329025e-05
384,1.0337735476642358e-03,2.8993221822576754e-05
385,1.0312023349781485e-03,2.9168731791010600e-05
386,1.0286442922076060e-03,2.9344471007658544e-05
387,1.0260993156812870e-03,2.9520437046128334e-05
388,1.0235673028116696e-03,2.9696627496044791e-05
389,1.0210481520813799e-03,2.9873039962527970e-05
390,1.0185417630292973e-03,3.0049672066478589e-05
391,1.0160480362370662e-03,3.0226521444450547e-05
392,1.0135668733157552e-03,3.0403585748394250e-05
393,1.0110981768927407e-03,3.0580862645944764e-05
394,1.0086418505987670e-03,3.0758349820100011e-05
395,1.0061977990552084e-03,3.0936044969326911e-05
396,1.0037659278615575e-03,3.1113945807333736e-05
397,1.0013461435830198e-03,3.1292050063234650e-05
398,9.9893835373835653e-04,3.1470355481404365e-05
399,9.9654246678794749e-04,3.1648859821259783e-05
400,9.9415839212191434e-04,3.1827560857551989e-05
401,9.9178604004853147e-04,3.2006456379864006e-05
402,9.8942532178268095e-04,3.2185544193045279e-05
403,9.8707614943471800e-04,3.2364822116710670e-05
404,9.8473843599914236e-04,3.2544287985510051e-05
405,9.8241209534378972e-04,3.2723939648807275e-05
406,9.8009704219896620e-04,3.2903774970804502e-05
407,9.7779319214683557e-04,3.3083791830482627e-05
408,9.7550046161081361e-04,3.3263988121348108e-05
409,9.7321876784542264e-04,3.3444361751611041e-05
410,9.7094802892594434e-04,3.3624910643913604e-05
411,9.6868816373845421e-04,3.3805632735498245e-05
412,9.6643909196992997e-04,3.3986525977883944e-05
413,9.6420073409839613e-04,3.4167588337005362e-05
414,9.6197301138354057e-04,3.4348817793070510e-05
415,9.5975584585693307e-04,3.4530212340491710e-05
416,9.5754916031299219e-04,3.4711769987760286e-05
417,9.5535287829954412e-04,3.4893488757575691e-05
418,9.5316692410888151e-04,3.5075366686593394e-05
419,9.5099122276882822e-04,3.5257401825411952e-05
420,9.4882570003378586e-04,3.5439592238532247e-05
421,9.4667028237620243e-04,3.5621936004298757e-05
422,9.4452489697788463e-04,3.5804431214724171e-05
423,9.4238947172167937e-04,3.5987075975641922e-05
424,9.4026393518298476e-04,3.6169868406402085e-05
425,9.3814821662165820e-04,3.6352806639926078e-05
426,9.3604224597385738e-04,3.6535888822693927e-05
427,9.3394595384411474e-04,3.6719113114477588e-05
428,9.3185927149738994e-04,3.6902477688525766e-05
429,9.2978213085136380e-04,3.7085980731316302e-05
430,9.2771446446873556e-04,3.7269620442480309e-05
431,9.2565620554976575e-04,3.7453395034921884e-05
432,9.2360728792469560e-04,3.7637302734507295e-05
433,9.2156764604650609e-04,3.7821341780247200e-05
434,9.1953721498369903e-04,3.8005510423901570e-05
435,9.1751593041301805e-04,3.8189806930330975e-05
436,9.1550372861252927e-04,3.8374229576997673e-05
437,9.1350054645465847e-04,3.8558776654235836e-05
438,9.1150632139926568e-04,3.8743446464988885e-05
439,9.0952099148702945e-04,3.8928237324827593e-05
440,9.0754449533257209e-04,3.9113147561817911e-05
441,9.0557677211808405e-04,3.9298175516459211e-05
442,9.0361776158670495e-04,3.9483319541775399e-05
443,9.0166740403618763e-04,3.9668578002982567e-05
444,8.9972564031257952e-04,3.9853949277629403e-05
445,8.9779241180399348e-04,4.0039431755394018e-05
446,8.9586766043434107e-04,4.0225023838111689e-05
447,8.9395132865755845e-04,4.0410723939643558e-05
448,8.9204335945130663e-04,4.0596530485856884e-05
449,8.9014369631124014e-04,4.0782441914505454e-05
450,8.8825228324522206e-04,4.0968456675225215e-05
451,8.8636906476738083e-04,4.1154573229333405e-05
452,8.8449398589269688e-04,4.1340790050022318e-05
453,8.8262699213119281e-04,4.1527105621903616e-05
454,8.8076802948253651e-04,4.1713518441354346e-05
455,8.7891704443052437e-04,4.1900027016181090e-05
456,8.7707398393784388e-04,4.2086629865584287e-05
457,8.7523879544045208e-04,4.2273325520153157e-05
458,8.7341142684277309e-04,4.2460112521834986e-05
459,8.7159182651214617e-04,4.2646989423660290e-05
460,8.6977994327398138e-04,4.2833954790061570e-05
461,8.6797572640657193e-04,4.3021007196345706e-05
462,8.6617912563619786e-04,4.3208145228962344e-05
463,8.6439009113221455e-04,4.3395367485270730e-05
464,8.6260857350218862e-04,4.3582672573524364e-05
465,8.6083452378716207e-04,4.3770059112870729e-05
466,8.5906789345686397e-04,4.3957525733152541e-05
467,8.5730863440516706e-04,4.4145071074927246e-05
468,8.5555669894537450e-04,4.4332693789388341e-05
469,8.5381203980571007e-04,4.4520392538323644e-05
470,8.5207461012494620e-04,4.4708165993909102e-05
471,8.5034436344782907e-04,4.4896012838840720e-05
472,8.4862125372079354e-04,4.5083931766164478e-05
473,8.4690523528766165e-04,4.5271921479323646e-05
474,8.4519626288537481e-04,4.5459980691757843e-05
475,8.4349429163975095e-04,4.5648108127276007e-05
476,8.4179927706138605e-04,4.5836302519737017e-05
477,8.4011117504155075e-04,4.6024562613035483e-05
478,8.3842994184814658e-04,4.6212887161045836e-05
479,8.3675553412168656e-04,4.6401274927515011e-05
480,8.3508790887139826e-04,4.6589724686124170e-05
481,8.3342702347123957e-04,4.6778235220289432e-05
482,8.3177283565619836e-04,4.6966805323143719e-05
483,8.3012530351835392e-04,4.7155433797463030e-05
484,8.2848438550321571e-04,4.7344119455697713e-05
485,8.2685004040598180e-04,4.7532861119739146e-05
486,8.2522222736789027e-04,4.7721657620990160e-05
487,8.2360090587257917e-04,4.7910507800318010e-05
488,8.2198603574263251e-04,4.8099410507733053e-05
489,8.2037757713587312e-04,4.8288364602833394e-05
490,8.1877549054201954e-04,4.8477368954210571e-05
491,8.1717973677921936e-04,4.8666422439716208e-05
492,8.1559027699066309e-04,4.8855523946231547e-05
493,8.1400707264117059e-04,4.9044672369777192e-05
494,8.1243008551392911e-04,4.9233866615220070e-05
495,8.1085927770725534e-04,4.9423105596571009e-05
496,8.0929461163125921e-04,4.9612388236413455e-05
497,8.0773605000475097e-04,4.9801713466361267e-05
498,8.0618355585203273e-04,4.9991080226635837e-05
499,8.0463709249981507e-04,5.0180487466219697e-05
500,8.0309662357412625e-04,5.0369934142677252e-05
501,8.0156211299722586e-04,5.0559419222159958e-05
502,8.0003352498466741e-04,5.0748941679247806e-05
503,7.9851082404231897e-04,5.0938500497138430e-05
504,7.9699397496339741e-04,5.1128094667222448e-05
505,7.9548294282558900e-04,5.1317723189360227e-05
506,7.9397769298817776e-04,5.1507385071623588e-05
507,7.9247819108922333e-04,5.1697079330337685e-05
